SR-ID,Title,UN-Refs,Requirement,Rationale,AcceptanceCriteria,Permutations,Priority,Verification,Status
SR-001,End-user download-to-first-slideshow path (no Rust),UN-001;UN-019;UN-020;UN-021,"The system shall enable an end user to produce a first playable MP4 by following the documented end-user path only: download `make_video_slideshow.exe` (SR-023), run it — on first run with no config the in-binary GUI wizard (SR-026) collects the basics and writes a valid config (SR-030) and the startup dependency self-check (SR-024) fetches/locates FFmpeg (SR-027) — then run `build`; with no Rust/compiler toolchain, no source checkout, no source-code edits, and no manual config-file editing required of the end user for a basic run.","Removes the setup friction UN-001 says causes abandonment before first output; the in-binary wizard + self-check replace any manual install/config step, and the UN-021 audience split keeps a non-programmer from ever being routed into installing Rust.","On a clean Windows host with NO Rust toolchain and no FFmpeg installed: following only the documented end-user path — (1) download `make_video_slideshow.exe` (SR-023), (2) run it so the first-run GUI wizard (SR-026) writes a valid config (SR-030) and the startup self-check (SR-024) fetches/locates FFmpeg (SR-027), (3) run `build` — yields ≥1 MP4 that plays; no documented end-user step installs Rust/a compiler, requires a source checkout, instructs editing `.rs` source, or requires hand-editing the config for a basic run. Building from source is a separate Developer path (SR-025), never part of these end-user steps.","step={download-exe,first-run-wizard,self-check,build}; manual-config-edits=0; code-edits=0; rust-required=no",M,Demonstration,Draft
SR-002,Pre-run validate gates build on runtime prerequisites only,UN-002,"The system shall provide a `validate` command that checks each essential RUNTIME prerequisite (FFmpeg locatable — whether on PATH, at a configured/existing path, or already auto-fetched per SR-027 — config parses, media_root readable, output base_dir writable) and reports each as a plain-language pass/fail, and `build` shall refuse to start when any essential prerequisite fails; `validate` shall NOT check for or require a Rust/build toolchain, FFmpeg being the sole external runtime dependency.","Implements UN-002 so a missing/typo'd runtime prerequisite is caught before a long run rather than after; FFmpeg is the only runtime dependency (the binary is already in hand per UN-019, and may be auto-fetched/located per SR-027), so a Rust/build toolchain is never treated as a prerequisite.","`validate` emits one labeled pass/fail line per checked runtime prerequisite in plain language; the FFmpeg check passes when FFmpeg is on PATH, at a configured/existing location, or already auto-fetched (SR-027); when any essential check fails, `validate` and `build` both exit non-zero without producing output; when all pass, `validate` exits zero; no checked prerequisite is a Rust/compiler/build-toolchain check, and `validate` succeeds on a clean machine that has FFmpeg (located or fetched) + valid config + readable/writable paths but no Rust installed.","prereq={ffmpeg_locatable,config_parses,media_root_readable,output_dir_writable}; ffmpeg_source={path,configured-existing,auto-fetched}; outcome={pass,fail}; rust-checked=no",M,Test,Draft
SR-003,Single documented config file with defaults and units,UN-003,"The system shall be configured by one TOML file in which every user-facing field has a documented default and stated unit, and the documented defaults shall require no understanding of codec/CRF/Ken Burns internals to produce frame-friendly output.","Implements UN-003 so a non-programmer can configure a run by editing plain settings only.","For each field in `[[outputs]]`/`[input]`/`[output]`/`[processing]` the docs state a default and unit; loading a config that omits all optional fields succeeds using those defaults; the default-produced output satisfies SR-005.","field={width,height,fps,pic_display_time_secs,fade_time_secs,quality_crf,max_rotation_degrees,zoom_amount,ken_burns,exception_pattern,exception_threshold,max_workers}",M,Inspection,Draft
SR-004,Build progress and completion summary,UN-004,"The system shall report ongoing progress during `build` (items processed of total per stage) and, on completion, emit a summary listing each output file written with its path, or a clear failure message when no valid output was produced.","Implements UN-004 so long unattended runs are visibly alive and the user knows the result and where outputs landed.","During `build`, progress updates showing processed/total are emitted as work proceeds; on success the final summary lists every written output path; on failure a plain-language message is emitted and exit code is non-zero.","outcome={success,failure}; stage={scan,frame-gen,encode}",M,Test,Draft
SR-005,Frame-compatible default encode profile,UN-005,"The system shall, with default settings, produce H.264 video in an MP4 container with pixel format yuv420p, `+faststart`, even width and height, and frame rate within 24-30 fps inclusive.","Implements UN-005: pins the broadly compatible profile so default output plays on budget frames, not just the PC.","ffprobe of a default-config output reports codec=h264, container=mp4, pix_fmt=yuv420p; the moov atom precedes mdat (faststart); width%2==0 and height%2==0; 24<=fps<=30.","codec=h264; container=mp4; pix_fmt=yuv420p; faststart=on; fps={24,25,30}; dims=even",M,Test,Draft
SR-006,Even-dimension enforcement for any configured resolution,UN-005;UN-007,"The system shall encode each output at its configured resolution and shall ensure the encoded width and height are both even for every supported panel resolution.","Decomposes the even-dimension requirement of UN-005 across the multiple panel resolutions UN-007 allows, since yuv420p H.264 rejects odd dimensions.","For each resolution in Permutations, the encoded stream's width and height are even and match (or are the even-adjusted form of) the configured values; encoding never aborts due to odd dimensions.","resolution={1024x768,1280x800,1440x900,1920x1080}",M,Test,Draft
SR-007,Frame-rate bounds,UN-005,"The system shall accept a configurable output frame rate and the documented default shall fall within 24-30 fps inclusive.","Implements the fps portion of UN-005 so default output stays within the range budget panels support.","Default-config output has 24<=fps<=30; a configured fps within the supported set is honored in the encoded stream as reported by ffprobe.","fps={24,25,30}",M,Test,Draft
SR-008,Quality/bitrate via CRF default,UN-005,"The system shall control output quality via an H.264 CRF parameter whose documented default lies in the 26-30 range recommended for smooth playback on budget frames.","Implements the bitrate/smoothness guidance of UN-005 so default output neither stutters on weak decoders nor bloats file size.","The default `quality_crf` is within 26-30 inclusive; the configured CRF is passed unchanged to the H.264 encoder; lowering CRF measurably increases output file size on identical input.","quality_crf={26,28,30}",M,Test,Draft
SR-009,Pre-run oversize (FAT32 4GB) size estimate and warning,UN-006;UN-018,"The system shall estimate each output's duration and file size before/while building and shall emit a warning naming the affected output when its estimated size exceeds ~3.5 GB, and shall surface any output whose final size exceeds that threshold (path + size) in the completion summary.","Implements UN-006 (pre-run guard) and the UN-018 edge case so the user is warned about the 4 GB FAT32 wall before and after, not when the frame rejects the card.","Given a config/media whose estimated output exceeds 3.5 GB, `build` emits a warning naming the output and pointing to documented mitigations; any final output file > 3.5 GB is listed with its path and size in the summary; estimate uses the documented duration formula (sum of clip durations minus transitions x fade_time_secs).","threshold_gb=3.5; phase={pre-run-estimate,post-run-actual}",M,Test,Draft
SR-010,Source media never modified,UN-013,"The system shall open all input media read-only and shall never create, modify, move, or delete any file under the configured media_root.","Implements the UN-013 guarantee that a crash/power loss can never corrupt source media.","After any `build`, `validate`, `stats`, or `bench` run (including a run interrupted mid-execution), every file under media_root is byte-for-byte unchanged (verified by pre/post hash) and no files are added or removed there.","operation={build,validate,stats,bench}; run={complete,interrupted}",M,Test,Draft
SR-011,Crash-safe output (no complete-looking partial),UN-013;UN-016,"The system shall write each output via a temporary/in-progress file that is atomically promoted to its final `<name>.mp4` name only after a successful encode, so that a run killed mid-write leaves no partial file bearing the final output name.","Implements UN-013 and UN-016: a partial output must be distinguishable from a finished MP4 so the user is never misled by a truncated file.","If `build` is killed before an output completes, no file with the final `<name>.mp4` name exists for that output (only a distinguishable temp/in-progress artifact, if any); re-running after a kill completes normally without double-producing or silently skipping outputs.","interrupt-point={during-encode,before-finalize}; finalize=atomic-rename",M,Test,Draft
SR-012,FFmpeg-missing detection,UN-014,"The system shall detect when FFmpeg is not available on PATH and shall fail with a plain-language message naming FFmpeg as the cause and a non-zero exit status, without attempting a build.","Implements UN-014 for the FFmpeg-missing case so the failure is loud, named, and actionable.","With FFmpeg absent from PATH, `validate` and `build` print a message identifying FFmpeg-not-found and a fix hint, produce no output file, and exit non-zero.","command={validate,build}",M,Test,Draft
SR-013,FFmpeg-error handling with no false success,UN-014,"The system shall surface a non-zero FFmpeg exit or encode failure as a plain-language error naming the affected file/output and shall itself exit non-zero, never reporting success when no valid output was produced, and shall abort a stalled FFmpeg process after a configurable inactivity timeout (default 120 s with no encoder progress/output) rather than waiting indefinitely.","Implements UN-014 for the FFmpeg-error case so the user is never told a failed run succeeded, and bounds a wedged FFmpeg so an unattended run cannot block forever.","When FFmpeg exits non-zero during an output, the tool reports the failing output/file and the error, exits non-zero, and lists no successfully-written file for that output. If FFmpeg produces no progress/output for longer than the inactivity timeout (default 120 s, configurable), the tool aborts the FFmpeg process, reports the timeout naming the affected output, and exits non-zero — i.e. the run always terminates within (work time + one timeout interval), never hanging indefinitely.","failure={ffmpeg-nonzero-exit,broken-pipe,inactivity-timeout}; timeout_secs_default=120; timeout=configurable",M,Test,Draft
SR-014,Corrupt/unsupported input skip-and-continue,UN-015,"The system shall, by default, skip an input file it cannot read/decode, log the skipped file path and the reason, continue processing remaining files, report the total skipped count in the completion summary, and define exit status by whether any valid output was produced: exit zero when ≥1 valid output is written, exit non-zero with a plain ""no outputs produced"" message when every input was skipped (zero valid outputs).","Implements UN-015 so one bad file never aborts a long run and the user can decide whether to re-source skipped items; the all-skipped case must fail loudly so an empty run is never mistaken for success.","Given a media set containing ≥1 unreadable/unsupported file alongside valid files, `build` completes, produces output from the valid files, logs each skipped file with a reason, and the summary states the skipped count; the run exits zero when at least one valid output was produced. When EVERY input is skipped (zero valid outputs), `build` exits non-zero and emits a plain-language ""no outputs produced"" message rather than exiting zero.","cause={corrupt,unsupported-format,unreadable}; default-behavior=skip-and-continue; valid-outputs={>=1,0}; exit={zero-when->=1,nonzero-when-0}",M,Test,Draft
